Transaction Date,Post Date,Description,Category,Type,Amount,Memo
9/15/2022,9/16/2022,KARNS QUALITY FOODS,Groceries,Sale,-80.75,
9/14/2022,9/15/2022,PANERA BREAD #600833 P,Food & Drink,Sale,-37.64,
9/14/2022,9/14/2022,Payment Thank You Bill Pa,,Payment,1006,
9/13/2022,9/13/2022,Offer:Dunkin' Donuts,Fees & Adjustments,Adjustment,0.17,
9/11/2022,9/12/2022,KARNS QUALITY FOODS,Groceries,Sale,-11.59,
9/11/2022,9/12/2022,KARNS QUALITY FOODS,Groceries,Sale,-49.03,
9/10/2022,9/12/2022,ADVENTURE SPORTS IN HERSH,Entertainment,Sale,-8,
9/10/2022,9/11/2022,MNC INC,Food & Drink,Sale,-33.03,
9/9/2022,9/11/2022,JUBILEE MINISTRIES,Gifts & Donations,Sale,-41.11,
9/9/2022,9/11/2022,GIANT 6097,Groceries,Sale,-21.7,
9/11/2022,9/11/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-9.76,
9/9/2022,9/11/2022,TAKASHI THE ART OF SUSHI,Food & Drink,Sale,-56,
9/8/2022,9/9/2022,SIMPLY GREEK,Food & Drink,Sale,-33.05,
9/8/2022,9/9/2022,APPLE.COM/BILL,Shopping,Sale,-105.18,
9/8/2022,9/9/2022,CSC SERVICEWORK,Food & Drink,Sale,-2,
9/8/2022,9/9/2022,KARNS QUALITY FOODS,Groceries,Sale,-22.96,
9/7/2022,9/8/2022,T.J. MAXX #1593,Shopping,Sale,-18.98,
9/7/2022,9/8/2022,GIANT 6097,Groceries,Sale,-4.83,
9/5/2022,9/7/2022,SUNOCO 0429380900,Gas,Sale,-44.62,
9/5/2022,9/6/2022,DUNKIN #355621,Food & Drink,Sale,-7.8,
9/5/2022,9/6/2022,GULF OIL 92052926,Gas,Sale,-35,
9/3/2022,9/5/2022,ANNIE'S VARIETY,Groceries,Sale,-14.72,
9/3/2022,9/5/2022,THE LIQUOR LOCKER,Food & Drink,Sale,-117.11,
